transaction id,timestamp,transaction type,merchant_category,amount (INR),transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend,device_surrogate,corridor_surrogate
TXN0000235443,2024-01-10 13:35:29,P2P,Fuel,704,SUCCESS,26-35,36-45,Gujarat,Kotak,PNB,Android,4G,0,13,Wednesday,0,420d3cfbdc47e7697e1cc6db557c77a87ccefc4e6346250f7d5cbfdfb7c27672,4166bb7af9258b910385de61dac6c5d9bbe945788154a973c2c61d8053cba84c
TXN0000214102,2024-01-14 20:04:32,P2M,Food,375,SUCCESS,26-35,18-25,Rajasthan,ICICI,SBI,Android,4G,0,20,Sunday,1,d684677f5aaa61ca509f73b73d79de6b58a573f7dac266c525accfa628a93f98,89c8a121be86d5184fd4da044991aa3b592fefe5f4bb8193f552a1e4b063cab2
TXN0000220794,2024-01-15 07:51:06,P2M,Other,232,SUCCESS,46-55,26-35,Rajasthan,HDFC,SBI,iOS,5G,0,7,Monday,0,0a5b2c310ac00f29b8dd037a396e239ecfe79527ebb95b3d4099b9fb648e89c8,c8e2b3b4f0a84698f0728def6a1a1707dbd7231997fa6c5e3cbab4d44604b741
TXN0000234097,2024-01-26 07:04:24,P2P,Grocery,1802,SUCCESS,26-35,26-35,Andhra Pradesh,HDFC,HDFC,Android,4G,0,7,Friday,0,61817be628e4349454154b6568048888fb2b8d615a032608def265e50f198189,80f185c277f91c5b25c0b9381d5e003b76f9079e95ba25b177caf0699e1f9180
TXN0000217955,2024-01-30 09:05:15,Bill Payment,Grocery,137,SUCCESS,26-35,26-35,Karnataka,SBI,SBI,Android,4G,0,9,Tuesday,0,15435b25d8a188482ac276ffe486f3261be5864f156900d1262216972f5cae6c,3cefd55b90072b3fd719f7ef36caee70e95b943b079eb110183e1d4053464e66
TXN0000234387,2024-02-06 19:19:04,P2P,Other,302,SUCCESS,18-25,18-25,Maharashtra,ICICI,ICICI,Android,WiFi,0,19,Tuesday,0,fe68ef8ab0beee424633625a67fde39da216ee40b802a1f9192b3c5cdad2df29,d9c57127a1b1ced0ea5a705cb525a00c679e7b2746115e2b93ab20a61e963228
TXN0000233778,2024-02-08 19:13:29,Bill Payment,Grocery,387,FAILED,36-45,36-45,Rajasthan,HDFC,Kotak,Android,4G,0,19,Thursday,0,d684677f5aaa61ca509f73b73d79de6b58a573f7dac266c525accfa628a93f98,b94968912a2b274cf85903631cfce6cde07963077c9dd8e71a7ff8957766a026
TXN0000219626,2024-02-13 04:25:21,P2M,Food,136,SUCCESS,18-25,18-25,West Bengal,HDFC,SBI,Android,4G,0,4,Tuesday,0,603d1a5af878c6b49466d4727a5af16ea467bf5e1f770f2b9300f955952863a4,c8e2b3b4f0a84698f0728def6a1a1707dbd7231997fa6c5e3cbab4d44604b741
TXN0000228009,2024-02-14 13:12:20,Bill Payment,Food,113,SUCCESS,36-45,18-25,Uttar Pradesh,HDFC,IndusInd,Android,4G,0,13,Wednesday,0,6c680f2eb050878b116f106209c55e0772f857a1b4c436728a85961ab689bd6b,275172e01c30e893bccfeaf265642ad00acd1b903e58eb2b50e612247d79504f
TXN0000224935,2024-02-17 16:03:24,P2P,Utilities,1610,SUCCESS,26-35,26-35,Maharashtra,SBI,PNB,Web,4G,0,16,Saturday,1,7ae9f36c2f08455e7b653ac1044112d71029a125241606e120f7cf8a38c906fa,0f0c7840e5d82a34888d340088a11333e965a4c687d2184cb0d4223116b02fba
TXN0000226421,2024-02-20 13:44:02,P2M,Shopping,3594,SUCCESS,18-25,18-25,Maharashtra,Yes Bank,SBI,Web,5G,0,13,Tuesday,0,4e70bc2dff28f3a7f3503a763d5e4cda8233a60723a41cac8d740067997315f6,3c08e5e13a7bc7431792ab618aa66e6e98264a5f775f4b5d78fcd1295a7bebf2
